Lat,Long,Country
-15.75,-47.95,Brazil
14.91,-23.51,Cape Verde
12.65,-8,Mali
9.03,38.74,Ethiopia
34.03,-6.85,Morocco
14.66,-17.41,Senegal
52.5,-0.12,United Kingdom
41.26,69.21,Uzbekistan
41.9,12.48,Italy
28.61,77.2,India
33.66,73.16,Pakistan
54.68,25.31,Lithuania
44.41,26.1,Romania
36.7,3.21,Algeria
39.91,32.83,Turkey
19.75,96.1,Myanmar
13.75,100.48,Thailand
39.91,116.38,China
23.76,121,Taiwan
-6.17,106.82,Indonesia
17.98,-76.8,Jamaica
35.68,51.41,Iran
30.03,31.21,Egypt
42.86,74.6,Kyrgyzstan
-1.26,36.8,Kenya
17.25,-88.76,Belize
38,23.71,Greece
-35.3,149.12,Australia
35.7,139.71,Japan
-6.17,35.74,Tanzania
41.71,44.78,Georgia
11.55,104.91,Cambodia
41.33,19.8,Albania
